%
Project ID	saudardalsstifla
Sounding ID	6
Zero values	2442.8 27492.0 2051.0 2476.5 27468.0 2050.6
#
Depth	ROP	Feed force	U2	QC	FS	Friction Ratio
0.01	1.8	0.0	-11.18	0.008	0.02	0.0
0.02	11.8	0.1	-6.36	0.028	0.0	0.0
0.03	12.6	0.1	3.86	0.1	0.06	0.0
0.04	13.0	0.1	7.55	0.184	0.1	0.0
0.05	13.7	0.1	13.3	0.214	0.05	0.0
0.06	14.8	0.1	16.96	0.232	2.9	1.0
0.07	14.9	0.1	18.1	0.178	7.4	4.0
0.08	16.5	0.1	24.7	0.134	9.25	6.0
0.09	18.4	0.1	30.45	0.139	10.4	7.0
0.10	18.8	0.2	41.86	0.258	10.63	4.0
0.11	18.8	0.2	50.4	0.402	10.9	2.0
0.12	17.9	0.3	36.56	0.694	12.06	1.0
0.13	18.2	0.4	19.1	1.374	14.2	1.0
0.14	19.6	0.4	10.65	1.853	15.75	0.0
0.15	19.2	0.4	7.95	1.953	15.05	0.0
0.16	19.1	0.4	18.55	1.916	13.65	0.0
0.17	19.3	0.4	32.25	1.844	13.7	0.0
0.18	19.3	0.4	39.04	1.752	13.55	0.0
0.19	19.3	0.4	37.75	1.687	13.25	0.0
0.20	19.4	0.4	39.5	1.658	13.2	0.0
0.21	19.1	0.4	41.6	1.647	12.95	0.0
0.22	19.1	0.4	40.7	1.657	12.3	0.0
0.23	18.9	0.4	43.55	1.68	11.8	0.0
0.24	19.0	0.4	49.85	1.719	12.05	0.0
0.25	18.8	0.4	58.55	1.78	12.8	0.0
0.26	18.6	0.4	71.75	1.85	13.5	0.0
0.27	18.8	0.4	86.65	1.919	14.45	0.0
0.28	18.9	0.5	88.4	1.977	15.15	0.0
0.29	18.8	0.5	77.09	2.072	15.73	0.0
0.30	19.5	0.5	73.5	2.2	16.8	0.0
0.31	19.6	0.5	74.3	2.224	17.1	0.0
0.32	19.5	0.5	78.23	2.19	17.39	0.0
0.33	18.8	0.5	75.55	2.106	17.35	0.0
0.34	19.3	0.4	70.55	2.015	17.2	0.0
0.35	19.2	0.4	66.09	1.926	17.35	0.0
0.36	19.5	0.4	61.5	1.885	17.5	0.0
0.37	18.9	0.5	57.8	1.893	17.75	0.0
0.38	19.1	0.5	56.25	1.969	18.45	0.0
0.39	19.0	0.5	56.5	2.107	19.35	0.0
0.40	18.9	0.5	58.3	2.228	20.14	0.0
0.41	19.2	0.5	60.65	2.301	20.45	0.0
0.42	19.1	0.5	61.55	2.338	20.45	0.0
0.43	19.1	0.5	59.9	2.348	20.3	0.0
0.44	19.1	0.5	57.5	2.349	19.75	0.0
0.45	18.7	0.5	55.35	2.348	18.95	0.0
0.46	19.3	0.6	53.7	2.352	18.1	0.0
0.47	19.0	0.6	53.45	2.386	17.8	0.0
0.48	19.0	0.6	54.5	2.445	17.95	0.0
0.49	18.7	0.6	54.9	2.484	17.95	0.0
0.50	19.1	0.5	52.6	2.488	17.8	0.0
0.51	19.5	0.5	49.75	2.449	17.55	0.0
0.52	19.4	0.5	46.8	2.308	17.33	0.0
0.53	19.4	0.5	44.3	2.196	17.2	0.0
0.54	19.2	0.5	42.85	2.128	17.05	0.0
0.55	19.2	0.4	40.0	1.886	16.7	0.0
0.56	19.7	0.4	36.95	1.667	16.5	0.0
0.57	19.2	0.4	33.75	1.574	16.35	1.0
0.58	19.4	0.4	31.8	1.491	16.35	1.0
0.59	18.5	0.4	31.15	1.403	16.45	1.0
0.60	19.3	0.4	30.6	1.316	16.39	1.0
0.61	19.1	0.4	30.7	1.262	16.2	1.0
0.62	19.2	0.4	30.75	1.232	15.9	1.0
0.63	19.1	0.4	30.4	1.211	15.5	1.0
0.64	19.2	0.4	30.5	1.221	15.2	1.0
0.65	18.9	0.4	31.5	1.268	15.0	1.0
0.66	18.9	0.4	33.29	1.341	14.85	1.0
0.67	19.1	0.4	34.5	1.451	14.75	1.0
0.68	19.4	0.4	35.75	1.563	14.85	0.0
0.69	18.7	0.4	37.5	1.606	14.95	0.0
0.70	19.1	0.4	38.65	1.585	14.7	0.0
0.71	18.7	0.4	38.65	1.551	14.35	0.0
0.72	18.7	0.4	38.15	1.516	14.1	0.0
0.73	18.6	0.4	37.95	1.49	13.75	0.0
0.74	18.7	0.5	37.85	1.497	13.25	0.0
0.75	18.2	0.5	39.0	1.596	12.93	0.0
0.76	18.3	0.5	41.6	1.836	13.25	0.0
0.77	18.2	0.6	44.35	2.052	13.85	0.0
0.78	17.9	0.6	47.5	2.241	14.75	0.0
0.79	18.4	0.7	49.95	2.456	15.9	0.0
0.80	17.8	0.7	51.5	2.655	16.75	0.0
0.81	17.9	0.7	52.5	2.771	17.39	0.0
0.82	17.8	0.7	53.2	2.827	17.6	0.0
0.83	18.3	0.8	53.65	2.869	17.14	0.0
0.84	18.2	0.8	53.95	2.923	16.85	0.0
0.85	18.4	0.8	54.2	2.988	16.8	0.0
0.86	18.8	0.8	54.43	3.05	17.3	0.0
0.87	18.9	0.8	53.95	3.074	18.7	0.0
0.88	19.4	0.8	53.0	3.039	19.55	0.0
0.89	19.8	0.7	50.85	2.943	20.0	0.0
0.90	21.3	0.7	47.5	2.8	20.35	0.0
0.91	18.2	0.7	44.8	2.606	20.85	0.0
0.92	16.4	0.6	43.45	2.38	21.45	0.0
0.93	16.1	0.6	42.2	2.194	22.0	1.0
0.94	16.6	0.6	40.0	2.058	22.5	1.0
0.95	16.2	0.6	36.46	1.864	22.23	1.0
0.96	16.3	0.5	33.95	1.669	21.65	1.0
0.97	16.2	0.5	33.04	1.571	21.4	1.0
0.98	16.2	0.5	33.0	1.495	21.2	1.0
0.99	16.0	0.5	32.86	1.352	20.96	1.0
1.00	15.9	0.5	31.9	1.238	20.75	1.0
1.01	16.2	0.5	31.9	1.211	20.55	1.0
1.02	16.7	0.5	32.54	1.217	20.5	1.0
1.03	16.8	0.6	33.4	1.279	20.55	1.0
1.04	15.9	0.6	37.33	1.442	20.7	1.0
1.05	15.5	0.7	43.55	1.656	21.05	1.0
1.06	14.6	0.8	47.45	1.903	21.35	1.0
1.07	14.0	0.9	52.53	2.348	21.53	0.0
1.08	16.4	1.0	57.35	2.666	21.4	0.0
1.09	16.8	1.1	59.6	2.867	20.9	0.0
1.10	17.4	1.1	61.05	3.095	20.2	0.0
1.11	18.1	1.1	61.95	3.225	19.7	0.0
1.12	18.0	1.1	61.9	3.265	19.3	0.0
1.13	18.0	1.1	60.5	3.215	19.6	0.0
1.14	17.9	1.1	58.9	3.142	20.1	0.0
1.15	18.0	1.1	56.6	3.053	20.7	0.0
1.16	17.7	1.1	54.5	2.956	21.65	0.0
1.17	18.0	1.1	52.9	2.866	22.55	0.0
1.18	18.0	1.1	51.4	2.792	23.45	0.0
1.19	18.0	1.0	50.0	2.737	24.25	0.0
1.20	18.0	1.0	48.35	2.681	24.7	0.0
1.21	18.2	1.0	46.9	2.582	25.05	0.0
1.22	18.1	1.0	44.83	2.392	25.23	1.0
1.23	17.7	0.9	41.95	2.244	25.35	1.0
1.24	20.1	0.9	40.2	2.135	25.45	1.0
1.25	18.1	0.9	38.79	1.995	25.1	1.0
1.26	17.9	0.9	37.35	1.913	24.8	1.0
1.27	17.8	0.9	36.2	1.884	24.35	1.0
1.28	17.7	0.9	35.54	1.852	23.35	1.0
1.29	17.7	0.9	35.15	1.827	22.4	1.0
1.30	17.8	0.9	34.85	1.811	21.7	1.0
1.31	17.8	0.9	34.5	1.8	21.15	1.0
1.32	18.0	0.9	33.7	1.788	20.53	1.0
1.33	18.2	0.9	32.6	1.75	20.0	1.0
1.34	18.4	0.8	31.8	1.703	19.6	1.0
1.35	18.0	0.8	30.55	1.655	19.14	1.0
1.36	18.0	0.8	29.6	1.595	18.7	1.0
1.37	17.5	0.8	28.9	1.527	18.39	1.0
1.38	18.1	0.8	27.95	1.475	18.2	1.0
1.39	18.0	0.8	27.2	1.438	18.05	1.0
1.40	17.9	0.7	26.85	1.41	18.05	1.0
1.41	17.9	0.7	26.36	1.354	18.13	1.0
1.42	18.2	0.7	25.95	1.306	18.14	1.0
1.43	17.7	0.7	25.9	1.299	18.1	1.0
1.44	17.3	0.7	26.3	1.298	18.0	1.0
1.45	17.8	0.8	26.75	1.31	17.8	1.0
1.46	16.4	0.8	27.5	1.348	17.6	1.0
1.47	14.9	0.9	29.86	1.464	17.6	1.0
1.48	16.9	1.0	32.15	1.657	17.95	1.0
1.49	17.3	1.1	34.15	1.798	18.14	1.0
1.50	17.1	1.1	36.65	1.918	18.3	0.0
1.51	17.8	1.2	38.6	2.04	18.3	0.0
1.52	17.1	1.3	40.15	2.202	17.95	0.0
1.53	18.3	1.3	41.55	2.39	17.5	0.0
1.54	16.9	1.4	43.73	2.58	17.2	0.0
1.55	17.4	1.4	45.5	2.74	17.45	0.0
1.56	17.9	1.5	46.05	2.848	18.05	0.0
1.57	18.1	1.5	46.5	2.913	19.0	0.0
1.58	18.3	1.5	46.8	2.942	19.95	0.0
1.59	18.7	1.5	46.65	2.951	20.7	0.0
1.60	18.4	1.5	46.15	2.92	21.35	0.0
1.61	18.7	1.4	45.1	2.862	21.9	0.0
1.62	18.7	1.4	43.5	2.796	22.8	0.0
1.63	18.1	1.4	42.05	2.717	24.05	0.0
1.64	18.6	1.4	40.43	2.566	24.86	0.0
1.65	18.2	1.4	38.85	2.429	25.4	1.0
1.66	18.5	1.4	37.6	2.377	25.9	1.0
1.67	18.1	1.4	36.7	2.321	26.55	1.0
1.68	18.8	1.3	35.9	2.243	27.0	1.0
1.69	18.4	1.3	34.6	2.161	27.2	1.0
1.70	19.3	1.3	32.9	2.084	27.2	1.0
1.71	18.4	1.2	31.55	1.992	26.65	1.0
1.72	18.7	1.2	30.65	1.888	26.0	1.0
1.73	17.9	1.2	29.7	1.804	25.65	1.0
1.74	19.1	1.2	28.85	1.751	25.05	1.0
1.75	17.9	1.2	28.35	1.714	24.05	1.0
1.76	18.8	1.2	27.95	1.682	23.2	1.0
1.77	18.1	1.1	28.1	1.66	22.43	1.0
1.78	18.8	1.1	29.25	1.657	22.05	1.0
1.79	17.5	1.1	29.85	1.647	22.05	1.0
1.80	18.3	1.1	30.25	1.641	22.0	1.0
1.81	18.0	1.1	31.4	1.646	21.85	1.0
1.82	18.8	1.1	33.35	1.649	21.4	1.0
1.83	18.5	1.1	34.79	1.646	20.75	1.0
1.84	18.3	1.2	35.29	1.646	20.05	1.0
1.85	17.8	1.2	36.0	1.663	19.55	1.0
1.86	17.9	1.2	37.25	1.689	19.25	1.0
1.87	17.1	1.3	39.23	1.777	19.53	1.0
1.88	17.3	1.4	42.3	1.967	20.1	1.0
1.89	17.2	1.5	45.3	2.147	20.5	0.0
1.90	17.7	1.6	49.4	2.338	21.05	0.0
1.91	16.7	1.8	53.0	2.607	21.6	0.0
1.92	17.8	1.9	55.65	2.928	21.85	0.0
1.93	17.3	2.0	60.9	3.279	21.83	0.0
1.94	18.3	2.1	66.65	3.607	21.95	0.0
1.95	17.2	2.2	69.65	3.861	22.1	0.0
1.96	17.6	2.2	73.15	4.058	22.45	0.0
1.97	17.2	2.4	77.34	4.206	23.1	0.0
1.98	17.6	2.8	80.95	4.357	24.1	0.0
1.99	17.2	3.2	83.9	4.553	25.0	0.0
2.00	17.8	3.6	88.86	4.882	26.0	0.0
2.01	17.6	4.1	94.8	5.144	27.4	0.0
2.02	16.6	4.6	98.65	5.36	28.75	0.0
2.03	17.5	5.3	102.5	5.667	29.85	0.0
